"Transaction Type","Date","Account Type","Description","Amount","Reference No.","Credits","Debits"
FEE,9/21/18,Checking,"EXCHANGE FEE",-1.08," ",,$1.08
"POS DEBIT",9/21/18,Checking,"WM SUPERCENTER    SALEM        NH            6819",-73.40," ",,$73.40
"DIRECT DEBIT",9/21/18,Checking,"CHIPOTLE 1799     BEDFORD      NH            6801",-21.86," ",,$21.86
"DIRECT DEBIT",9/21/18,Checking,"EVE ONLINE        REYKJAVIK                  6819",-38.85," ",,$38.85
FEE,9/20/18,Checking,"EXCHANGE FEE",-1.08," ",,$1.08
DEBIT,9/20/18,Checking,"CAPITAL ONE      ONLINE PMT",-5.16," ",,$5.16
DEBIT,9/20/18,Checking,"CAPITAL ONE      ONLINE PMT",-64.86," ",,$64.86
"POS DEBIT",9/20/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-33.32," ",,$33.32
"POS DEBIT",9/20/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-6.17," ",,$6.17
"POS DEBIT",9/20/18,Checking,"INSTACART SUBSCRIPHTTPSINSTACARCA            6819",-14.99," ",,$14.99
"DIRECT DEBIT",9/20/18,Checking,"PAYPAL *CCP GAMES 35314369001                6819",-38.85," ",,$38.85
"DIRECT DEBIT",9/20/18,Checking,"CVS/PHARMACY #0074BEDFORD      NH            6801",-0.46," ",,$0.46
"DIRECT DEBIT",9/20/18,Checking,"DUNKIN #339732 Q35BEDFORD      NH            6801",-7.15," ",,$7.15
"DIRECT DEBIT",9/20/18,Checking,"Steamgames.com4259425-9522985  WA            6819",-12.99," ",,$12.99
"POS DEBIT",9/19/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-13.37," ",,$13.37
"POS DEBIT",9/19/18,Checking,"Shaws - Osco      MERRIMACK    NH            6801",-132.56," ",,$132.56
"DIRECT DEBIT",9/19/18,Checking,"GOOGLE *RaeScottDeg.co/helppay#CA            6819",-4.99," ",,$4.99
"DIRECT DEBIT",9/19/18,Checking,"CHUNKY'S CINEMAS  MANCHESTER   NH            6801",-10.00," ",,$10.00
"DIRECT DEPOSIT",9/19/18,Checking,"ROBERT HALF INTE PAYROLL",1134.12," ","$1,134.12",
OTHER,9/18/18,Checking,,-25.00," ",,$25.00
OTHER,9/18/18,Checking,,0.04," ",$0.04,
DEBIT,9/18/18,Checking,"WF HOME MTG      AUTO PAY",-1424.77," ",,"$1,424.77"
"POS DEBIT",9/18/18,Checking,"WAL-MART #2142    SALEM        NH            6819",-23.33," ",,$23.33
"POS DEBIT",9/18/18,Checking,"NETFLIX COM       LOS GATOS    CA            6819",-10.99," ",,$10.99
"DIRECT DEBIT",9/18/18,Checking,"NH DOS DMV MANCHESMANCHESTER   NH            6801",-50.00," ",,$50.00
"DIRECT DEBIT",9/18/18,Checking,"DUNKIN #357416    MANCHESTER   NH            6801",-6.74," ",,$6.74
"POS DEBIT",9/17/18,Checking,"MARKET BASKET 71  BEDFORD      NH            6801",-17.95," ",,$17.95
"POS DEBIT",9/17/18,Checking,"THE GRANITE YMCA  603-2328619  NH            6801",-62.00," ",,$62.00
"DIRECT DEBIT",9/17/18,Checking,"RED ARROW 24 HOUR MANCHESTER   NH            6819",-17.81," ",,$17.81
"DIRECT DEBIT",9/17/18,Checking,"WILD ROVER PUB    MANCHESTER   NH            6819",-12.01," ",,$12.01
"DIRECT DEBIT",9/17/18,Checking,"MCGARVEY SALOON   MANCHESTER   NH            6819",-9.00," ",,$9.00
"POS DEBIT",9/17/18,Checking,"Z1 XPRESS - GOFFSTGOFFSTOWN    NH            6801",-35.08," ",,$35.08
"POS DEBIT",9/17/18,Checking,"HOBBYLOBBY 1525 S.MANCHESTER   NH            6801",-8.27," ",,$8.27
"DIRECT DEBIT",9/17/18,Checking,"SAKU JAPAN.       MANCHESTER   NH            6801",-9.79," ",,$9.79
"POS DEBIT",9/17/18,Checking,"Spotify USA       646-8375380  NY            6819",-9.99," ",,$9.99
"POS DEBIT",9/17/18,Checking,"DODGE'S COUNTR    NEW BOSTON   NH            6819",-38.48," ",,$38.48
"DIRECT DEBIT",9/17/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-37.37," ",,$37.37
"POS DEBIT",9/17/18,Checking,"HLU*Hulu 61201170-HULU.COM/BILLCA            6801",-7.99," ",,$7.99
"DIRECT DEBIT",9/17/18,Checking,"Audible US        888-283-5051 NJ            6819",-14.95," ",,$14.95
"DIRECT DEBIT",9/17/18,Checking,"BURGER KING #16755MANCHESTER   NH            6801",-13.93," ",,$13.93
"DIRECT DEBIT",9/17/18,Checking,"WALMART.COM       800-966-6546 AR            6801",-39.96," ",,$39.96
DEBIT,9/14/18,Checking,"EVERSOURCE       WEB_PAY",-313.89," ",,$313.89
"POS DEBIT",9/14/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-17.35," ",,$17.35
"POS DEBIT",9/14/18,Checking,"Amazon Prime      Amzn.com/billWA            6819",-119.00," ",,$119.00
"DIRECT DEPOSIT",9/14/18,Checking,"ROBERT HALF INTE PAYROLL",1226.82," ","$1,226.82",
"POS DEBIT",9/13/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-39.76," ",,$39.76
"POS DEBIT",9/13/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-7.26," ",,$7.26
"POS DEBIT",9/13/18,Checking,"HANNAFORD #831    MANCHESTER   NH            6801",-166.91," ",,$166.91
"DIRECT DEBIT",9/13/18,Checking,"PIZZA 911- GOFFSTOGOFFSTOWN    NH            6801",-28.85," ",,$28.85
"DIRECT DEBIT",9/13/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-8.76," ",,$8.76
"DIRECT DEBIT",9/13/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-179.99," ",,$179.99
"DIRECT DEBIT",9/13/18,Checking,"NEW BOSTON DENTAL NEW BOSTON   NH            6819",-322.00," ",,$322.00
"DIRECT DEBIT",9/12/18,Checking,"DUNKIN #339732 Q35BEDFORD      NH            6801",-2.71," ",,$2.71
"DIRECT DEBIT",9/12/18,Checking,"USA*IVS VENDING MAMANCHESTER   NH            6801",-5.00," ",,$5.00
"DIRECT DEBIT",9/12/18,Checking,"USA*IVS VENDING MAMANCHESTER   NH            6801",-5.00," ",,$5.00
DEPOSIT,9/12/18,Checking,,50.00," ",$50.00,
TRANSFER,9/12/18,Checking,"FROM SAVINGS     3373239967",1000.00," ","$1,000.00",
"POS DEBIT",9/11/18,Checking,"Wal-Mart Super    SALEM        NH            6819",-70.29," ",,$70.29
"POS DEBIT",9/11/18,Checking,"THE CHILDRENS PLACMANCHESTER   NH            6801",-29.95," ",,$29.95
"POS DEBIT",9/11/18,Checking,"DODGE'S COUNTR    NEW BOSTON   NH            6819",-12.21," ",,$12.21
"DIRECT DEBIT",9/11/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-12.99," ",,$12.99
"DIRECT DEBIT",9/11/18,Checking,"TST* UBON THAI 2 GMANCHESTER   NH            6801",-46.87," ",,$46.87
"DIRECT DEBIT",9/11/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-28.99," ",,$28.99
"DIRECT DEBIT",9/11/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-23.97," ",,$23.97
"DIRECT DEBIT",9/11/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-29.99," ",,$29.99
"POS DEBIT",9/10/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-9.17," ",,$9.17
"DIRECT DEBIT",9/10/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-12.30," ",,$12.30
"DIRECT DEBIT",9/10/18,Checking,"PIZZA 911- GOFFSTOGOFFSTOWN    NH            6819",-19.14," ",,$19.14
"DIRECT DEBIT",9/10/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-34.99," ",,$34.99
"DIRECT DEBIT",9/10/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-39.98," ",,$39.98
"ATM DEBIT",9/10/18,Checking,"11 CHURCH STREET  GOFFSTOWN    NH            6819",-100.00," ",,$100.00
"POS DEBIT",9/10/18,Checking,"CUMBERLAND FAR    GOFFSTOWN    NH            6801",-35.38," ",,$35.38
"POS DEBIT",9/10/18,Checking,"MARKET BASKET 71  BEDFORD      NH            6801",-39.46," ",,$39.46
"POS DEBIT",9/10/18,Checking,"GOOGLE *YouTube TV855-836-3987 CA            6819",-35.00," ",,$35.00
"POS DEBIT",9/10/18,Checking,"Wal-Mart Super    MANCHESTER   NH            6801",-305.17," ",,$305.17
"DIRECT DEBIT",9/10/18,Checking,"SUBWAY        0328MANCHESTER   NH            6801",-6.54," ",,$6.54
"DIRECT DEBIT",9/10/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-21.28," ",,$21.28
"DIRECT DEBIT",9/10/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-20.98," ",,$20.98
"DIRECT DEBIT",9/10/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-24.98," ",,$24.98
DEBIT,9/7/18,Checking,"COMCAST 8773201  820154096",-85.95," ",,$85.95
"DIRECT DEBIT",9/7/18,Checking,"DUNKIN #337152 Q35GOFFSTOWN    NH            6801",-11.60," ",,$11.60
DEBIT,9/6/18,Checking,"THE GRANITE YMCA ELEC DRAFT",-62.00," ",,$62.00
"POS DEBIT",9/6/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-11.63," ",,$11.63
"POS DEBIT",9/6/18,Checking,"GOOGLE *YouTube Pr855-836-3987 CA            6819",-14.99," ",,$14.99
"POS DEBIT",9/6/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-18.58," ",,$18.58
"POS DEBIT",9/6/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-24.66," ",,$24.66
"DIRECT DEBIT",9/6/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-19.68," ",,$19.68
"DIRECT DEBIT",9/6/18,Checking,"DAILY WIRE        817-8503600  TX            6819",-7.99," ",,$7.99
"DIRECT DEPOSIT",9/6/18,Checking,"ROBERT HALF INTE PAYROLL",1149.57," ","$1,149.57",
DEBIT,9/5/18,Checking,"FEDLOANSERVICING STDNT LOAN",-62.78," ",,$62.78
DEBIT,9/5/18,Checking,"THE GRANITE YMCA ELEC DRAFT",-78.00," ",,$78.00
"DIRECT DEBIT",9/5/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-14.99," ",,$14.99
"DIRECT DEBIT",9/5/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-12.24," ",,$12.24
"DIRECT DEBIT",9/5/18,Checking,"SUBWAY        0029GOFFSTOWN    NH            6801",-12.82," ",,$12.82
"DIRECT DEBIT",9/5/18,Checking,"DUNKIN #306010 Q35GOFFSTOWN    NH            6801",-2.82," ",,$2.82
DEBIT,9/4/18,Checking,"PAYPAL           VERIFYBANK",-0.15," ",,$0.15
DEBIT,9/4/18,Checking,"PAYPAL           INST XFER",-20.96," ",,$20.96
DEBIT,9/4/18,Checking,"GOUGH23          IAT PAYPAL",-27.18," ",,$27.18
"POS DEBIT",9/4/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-12.99," ",,$12.99
"POS DEBIT",9/4/18,Checking,"MARKET BASKET 71  BEDFORD      NH            6801",-171.37," ",,$171.37
"POS DEBIT",9/4/18,Checking,"DOLLAR TREE       GOFFSTOWN    NH            6801",-17.00," ",,$17.00
"POS DEBIT",9/4/18,Checking,"SULLY'S SUPERE    GOFFSTOWN    NH            6801",-26.15," ",,$26.15
"DIRECT DEBIT",9/4/18,Checking,"CHIPOTLE 1799     BEDFORD      NH            6819",-15.59," ",,$15.59
"POS DEBIT",9/4/18,Checking,"PENGUIN MART      MILFORD      NH            6819",-11.67," ",,$11.67
"POS DEBIT",9/4/18,Checking,"IPSY   *GLAM BAG  HELP.IPSY.COMCA            6801",-10.00," ",,$10.00
"POS DEBIT",9/4/18,Checking,"VERC ENTERPRIS    MANCHESTER   NH            6801",-44.78," ",,$44.78
"DIRECT DEBIT",9/4/18,Checking,"PIZZA 911- GOFFSTOGOFFSTOWN    NH            6819",-17.22," ",,$17.22
"DIRECT DEBIT",9/4/18,Checking,"PAYPAL *RIOT GAMES402-935-7733 CA            6819",-10.00," ",,$10.00
"DIRECT DEPOSIT",9/4/18,Checking,"PAYPAL           VERIFYBANK",0.04," ",$0.04,
"DIRECT DEPOSIT",9/4/18,Checking,"PAYPAL           VERIFYBANK",0.11," ",$0.11,
DEPOSIT,9/4/18,Checking,,35.02," ",$35.02,
"POS DEBIT",8/31/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-12.72," ",,$12.72
"DIRECT DEBIT",8/31/18,Checking,"PAYPAL *CANDPSCHIL402-935-7733 CA            6801",-9.56," ",,$9.56
"DIRECT DEBIT",8/31/18,Checking,"TST* UBON THAI 2 GMANCHESTER   NH            6801",-34.41," ",,$34.41
"DIRECT DEPOSIT",8/31/18,Checking,"Citizens Bank    PAYROLL",309.66," ",$309.66,
"DIRECT DEPOSIT",8/31/18,Checking,"ROBERT HALF INTE PAYROLL",1134.12," ","$1,134.12",
DEBIT,8/30/18,Checking,"PROG NORTHERN    INS PREM",-86.51," ",,$86.51
DEBIT,8/30/18,Checking,"VERIZON WIRELESS PAYMENTS",-145.42," ",,$145.42
"DIRECT DEBIT",8/30/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-8.98," ",,$8.98
"POS DEBIT",8/29/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-26.86," ",,$26.86
"POS DEBIT",8/29/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-16.05," ",,$16.05
"DIRECT DEBIT",8/29/18,Checking,"MCDONALD'S F7194  GOFFSTOWN    NH            6801",-11.88," ",,$11.88
"DIRECT DEBIT",8/29/18,Checking,"TST* 33 HILLTOP   WINDHAM      NH            6819",-11.44," ",,$11.44
"POS DEBIT",8/28/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-13.10," ",,$13.10
"POS DEBIT",8/28/18,Checking,"Shaws - Osco      MERRIMACK    NH            6801",-123.18," ",,$123.18
"POS DEBIT",8/28/18,Checking,"BEST BUY #536     MANCHESTER   NH            6801",-20.00," ",,$20.00
"DIRECT DEBIT",8/28/18,Checking,"GOLDEN ACRES PIZZASTRIPE.COM   CA            6801",-20.85," ",,$20.85
"DIRECT DEBIT",8/28/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-9.99," ",,$9.99
"DIRECT DEBIT",8/28/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6819",-18.28," ",,$18.28
"DIRECT DEBIT",8/27/18,Checking,"Amazon.com        Amzn.com/billWA            6819",-10.68," ",,$10.68
"DIRECT DEBIT",8/27/18,Checking,"Amazon.com        Amzn.com/billWA            6819",-38.57," ",,$38.57
"DIRECT DEBIT",8/27/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-14.37," ",,$14.37
"DIRECT DEBIT",8/27/18,Checking,"SAKU JAPAN.       MANCHESTER   NH            6819",-12.84," ",,$12.84
"POS DEBIT",8/27/18,Checking,"THE MENS WEARH    MANCHESTER   NH            6819",-669.47," ",,$669.47
"POS DEBIT",8/27/18,Checking,"MARKET BASKET 71  BEDFORD      NH            6819",-63.59," ",,$63.59
"POS DEBIT",8/27/18,Checking,"NH LIQUOR STOR    BEDFORD      NH            6819",-65.25," ",,$65.25
"DIRECT DEBIT",8/27/18,Checking,"SQ *MANCHESTER CHRBEDFORD      NH            6801",-8.00," ",,$8.00
"DIRECT DEBIT",8/27/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-24.44," ",,$24.44
"DIRECT DEBIT",8/27/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-8.29," ",,$8.29
"DIRECT DEBIT",8/27/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6801",-9.98," ",,$9.98
TRANSFER,8/27/18,Checking,"TO SAVINGS       3373239967",-500.00," ",,$500.00
"DIRECT DEBIT",8/27/18,Checking,"PIZZA 911- GOFFSTOGOFFSTOWN    NH            6819",-26.67," ",,$26.67
"ATM DEBIT",8/27/18,Checking,"539 DONALD ST     BEDFORD      NH            6801",-60.00," ",,$60.00
"POS DEBIT",8/27/18,Checking,"CIRCLE K 07263    BEDFORD      NH            6801",-35.73," ",,$35.73
"DIRECT DEBIT",8/27/18,Checking,"DUNKIN #339732 Q35BEDFORD      NH            6801",-13.34," ",,$13.34
"DIRECT DEBIT",8/27/18,Checking,"RED ARROW 24 HOUR MANCHESTER   NH            6819",-26.61," ",,$26.61
"DIRECT DEBIT",8/27/18,Checking,"MCGARVEY SALOON   MANCHESTER   NH            6819",-13.00," ",,$13.00
"DIRECT DEBIT",8/27/18,Checking,"GOOGLE *MA        g.co/helppay#CA            6801",-0.99," ",,$0.99
"DIRECT DEBIT",8/27/18,Checking,"MCDONALD'S F26674 WINDHAM      NH            6819",-10.67," ",,$10.67
"POS DEBIT",8/24/18,Checking,"CVS/PHARMACY #00 0BEDFORD      NH            6801",-32.48," ",,$32.48
